time,rpm,voltage
5239264,166,10.25
5240032,166,10.25
5240800,166,10.25
5241560,166,10.25
5242328,166,10.21
5243096,166,10.23
5243856,166,10.25
5244624,166,10.23
5245384,166,10.23
5246152,166,10.25
5246920,166,10.25
5247680,166,10.23
5248448,166,10.23
5249216,166,10.25
5249976,166,10.23
5250744,166,10.23
5251504,166,10.25
5252272,166,10.25
5253040,166,10.23
5253800,166,10.25
5254568,166,10.25
5255336,166,10.25
5256096,166,10.23
5256864,166,10.25
5257672,166,10.23
5258392,166,10.23
5259160,166,10.25
5259920,166,10.25
5260688,166,10.23
5261456,166,10.25
5262216,166,10.25
5262984,166,10.23
5263744,166,10.25
5264520,166,10.25
5265280,166,10.25
5266040,166,10.25
5266808,166,10.25
5267576,166,10.25
5268336,166,10.23
5269104,166,10.25
5269864,166,10.28
5270632,166,10.25
5271400,166,10.25
5272160,166,10.25
5272928,166,10.25
5273696,166,10.23
5274456,166,10.25
5275224,166,10.25
5275984,166,10.28
5276752,166,10.25
5277520,166,10.25
5278280,180,10.25
5279048,180,10.23
5279816,180,10.25
5280576,180,10.25
5281344,180,10.25
5282104,180,10.25
5282872,180,10.25
5283680,180,10.25
5284400,180,10.23
5285168,180,10.28
5285936,180,10.23
5286696,180,10.25
5287464,180,10.25
5288224,180,10.25
5288992,180,10.23
5289760,180,10.25
5290520,180,10.3
5291288,180,10.25
5292056,180,10.25
5292816,180,10.23
5293584,180,10.25
5294344,180,10.23
5295112,180,10.25
5295880,180,10.33
5296640,180,10.28
5297408,180,10.25
5298180,180,10.25
5298936,180,10.28
5299704,180,10.23
5300464,180,10.25
5301232,180,10.28
5302000,180,10.25
5302760,180,10.25
5303528,180,10.25
5304296,180,10.25
5305056,180,10.23
5305824,180,10.25
5306584,170,10.25
5307352,170,10.25
5308120,170,10.25
5308920,170,10.25
5309648,170,10.25
5310416,170,10.25
5311176,170,10.35
5311944,170,10.25
5312704,170,10.25
5313472,170,10.25
5314240,170,10.25
5315000,170,10.25
5315768,170,10.23
5316536,170,10.5
5317296,170,10.25
5318064,170,10.25
5318824,170,10.25
5319592,170,10.25
5320360,170,10.23
5321120,170,10.25
5321888,170,10.3
5322656,170,10.25
5323416,170,10.25
5324184,170,10.25
5324952,170,10.28
5325712,170,10.25
5326480,170,10.28
5327240,170,10.28
5328016,170,10.25
5328776,170,10.25
5329536,170,10.25
5330304,170,10.25
5331072,170,10.25
5331832,191,10.52
5332600,191,10.25
5333360,191,10.25
5334176,191,10.25
5334896,191,10.25
5335656,191,10.23
5336424,191,10.25
5337184,191,10.45
5337952,191,10.25
5338712,191,10.25
5339480,191,10.25
5340248,191,10.25
5341016,191,10.23
5341776,191,10.25
5342544,191,10.35
5343304,191,10.25
5344072,191,10.25
5344840,191,10.25
5345600,191,10.25
5346368,191,10.25
5347136,191,10.3
5347896,191,10.28
5348664,191,10.25
5349424,191,10.25
5350192,191,10.25
5350960,191,10.25
5351720,191,10.25
5352488,191,10.42
5353256,191,10.25
5354016,191,10.25
5354784,191,10.25
5355544,203,10.25
5356312,203,10.25
5357120,203,10.25
5357840,203,10.55
5358608,203,10.25
5359376,203,10.25
5360136,203,10.23
5360904,203,10.25
5361668,203,10.23
5362432,203,10.25
5363200,203,10.33
5363960,203,10.25
5364728,203,10.25
5365496,203,10.25
5366256,203,10.28
5367024,203,10.25
5367784,203,10.33
5368552,203,10.25
5369320,203,10.25
5370080,203,10.25
5370848,203,10.25
5371616,203,10.23
5372376,203,10.25
5373144,203,10.64
5373904,203,10.25
5374672,203,10.25
5375440,203,10.25
5376200,203,10.25
5376968,203,10.23
5377736,203,10.25
5378496,210,10.5
5379264,210,10.28
5380024,210,10.25
5380792,210,10.25
5381600,210,10.28
5382320,210,10.23
5383088,210,10.28
5383856,210,10.28
5384616,210,10.25
5385384,210,10.25
5386144,210,10.25
5386912,210,10.28
5387680,210,10.25
5388440,210,10.64
5389208,210,10.25
5389976,210,10.25
5390736,210,10.23
5391512,210,10.25
5392264,210,10.25
5393032,210,10.25
5393800,210,10.62
5394568,210,10.28
5395328,210,10.25
5396096,210,10.25
5396856,210,10.25
5397632,210,10.25
5398384,210,10.25
5399152,210,10.33
5399920,210,10.28
5400680,210,10.25
5401448,210,10.25
5402216,210,10.25
5402976,210,10.25
5403792,210,10.6
5404504,210,10.25
5405272,180,10.25
5406040,180,10.25
5406800,180,10.25
5407568,180,10.25
5408336,180,10.25
5409096,180,10.69
5409864,180,10.25
5410624,180,10.25
5411392,180,10.25
5412160,180,10.25
5412920,180,10.25
5413688,180,10.25
5414456,180,10.4
5415216,180,10.25
5415984,180,10.25
5416744,180,10.25
5417512,180,10.25
5418280,180,10.25
5419040,180,10.45
5419808,180,10.28
5420576,180,10.28
5421336,180,10.25
5422104,180,10.25
5422864,180,10.25
5423632,180,10.28
5424400,180,10.74
5425208,180,10.25
5425928,180,10.25
5426688,180,10.25
5427456,180,10.25
5428228,180,10.25
5428984,180,10.25
5429752,180,10.47
5430520,180,10.28
5431280,180,10.28
5432048,180,10.25
5432816,180,10.25
5433576,180,10.25
5434344,180,10.38
5435104,180,10.3
5435872,180,10.25
5436640,180,10.25
5437400,180,10.25
5438168,180,10.28
5438936,180,10.28
5439696,180,10.77
5440464,180,10.25
5441224,180,10.25
5441992,180,10.25
5442760,180,10.25
5443520,180,10.25
5444288,180,10.25
5445096,180,10.52
5445816,180,10.25
5446584,180,10.25
5447344,180,10.25
5448112,180,10.25
5448880,180,10.25
5449640,180,10.3
5450408,180,10.3
5451176,180,10.28
5451936,180,10.25
5452704,180,10.25
5453464,180,10.25
5454232,180,10.25
5455000,180,10.77
5455760,180,10.25
5456528,180,10.28
5457296,180,10.25
5458064,180,10.25
5458824,180,10.25
5459584,180,10.25
5460352,180,10.57
5461120,180,10.28
5461880,180,10.25
5462648,180,10.25
5463416,180,10.28
5464184,180,10.25
5464944,180,10.28
5465704,180,10.33
5466472,180,10.25
5467240,180,10.25
5468000,180,10.25
5468808,180,10.28
5469536,180,10.25
5470296,180,10.77
5471064,180,10.25
5471824,180,10.28
5472592,180,10.25
5473352,180,10.25
5474120,180,10.25
5474888,180,10.25
5475656,180,10.62
5476416,180,10.25
5477184,180,10.28
5477944,180,10.25
5478712,180,10.25
5479480,180,10.25
5480240,180,10.28
5481008,180,10.33
5481776,180,10.25
5482536,180,10.25
5483304,180,10.25
5484064,180,10.28
5484832,180,10.25
5485600,180,10.77
5486360,175,10.25
5487128,175,10.28
5487896,175,10.25
5488656,175,10.25
5489424,175,10.25
5490184,175,10.25
5490952,175,10.64
5491720,175,10.25
5492480,175,10.25
5493288,175,10.25
5494016,175,10.28
5494776,175,10.25
5495544,175,10.28
5496304,175,10.38
5497072,175,10.28
5497840,175,10.25
5498600,175,10.25
5499368,175,10.28
5500136,175,10.25
5500896,175,10.77
5501664,175,10.25
5502424,175,10.28
5503192,175,10.25
5503960,175,10.25
5504720,175,10.25
5505488,175,10.25
5506256,175,10.67
5507016,175,10.25
5507784,175,10.28
5508544,175,10.25
5509312,175,10.25
5510080,175,10.25
5510840,175,10.28
5511608,175,10.38
5512376,175,10.28
5513136,180,10.25
5513904,180,10.25
5514664,180,10.28
5515432,180,10.25
5516200,180,10.77
5517000,180,10.28
5517728,180,10.25
5518496,180,10.25
5519256,180,10.25
5520024,180,10.25
5520784,180,10.25
5521560,180,10.67
5522312,180,10.28
5523080,180,10.25
5523848,180,10.25
5524616,180,10.25
5525376,180,10.25
5526144,180,10.28
5526904,180,10.38
5527680,180,10.28
5528440,180,10.25
5529200,180,10.25
5529968,180,10.28
5530728,180,10.25
5531496,180,10.79
5532264,180,10.25
5533024,180,10.28
5533792,180,10.25
5534560,180,10.25
5535320,180,10.25
5536088,180,10.25
5536856,180,10.67
5537616,180,10.25
5538384,180,10.25
5539144,180,10.25
5539912,180,10.25
5540720,180,10.25
5541440,170,10.28
5542208,170,10.38
5542968,170,10.28
5543736,170,10.25
5544504,170,10.25
5545264,170,10.25
5546032,170,10.25
5546800,170,10.79
5547560,170,10.25
5548328,170,10.25
5549088,170,10.25
5549856,170,10.25
5550624,170,10.25
5551384,170,10.25
5552152,170,10.67
5552920,170,10.25
5553680,170,10.25
5554448,170,10.25
5555208,170,10.25
5555976,170,10.25
5556744,170,10.28
5557504,170,10.33
5558276,170,10.25
5559040,170,10.25
5559800,170,10.25
5560568,170,10.28
5561328,170,10.25
5562096,170,10.77
5562864,170,10.25
5563624,170,10.25
5564432,170,10.25
5565160,170,10.25
5565920,170,10.25
5566688,170,10.25
5567448,170,10.67
5568216,170,10.25
5568984,175,10.25
5569744,175,10.25
5570512,175,10.25
5571280,175,10.25
5572040,175,10.28
5572808,175,10.38
5573568,175,10.28
5574336,175,10.25
5575104,175,10.25
5575864,175,10.28
5576632,175,10.25
5577400,175,10.79
5578160,175,10.25
5578928,175,10.25
5579688,175,10.25
5580456,175,10.25
5581224,175,10.25
5581984,175,10.25
5582752,175,10.67
5583520,175,10.25
5584280,175,10.25
5585048,175,10.25
5585816,175,10.25
5586576,175,10.25
5587344,175,10.28
5588112,175,10.33
5588872,175,10.25
5589680,175,10.25
5590400,175,10.25
5591176,175,10.28
5591928,175,10.25
5592696,175,10.79
5593464,175,10.25
5594232,175,10.25
5594984,175,10.25
5595760,175,10.25
5596520,175,10.25
5597288,170,10.25
5598048,170,10.67
5598816,170,10.25
5599584,170,10.28
5600344,170,10.25
5601112,170,10.25
5601880,170,10.25
5602640,170,10.28
5603408,170,10.35
5604168,170,10.25
5604936,170,10.25
5605704,170,10.25
5606464,170,10.28
5607232,170,10.28
5608000,170,10.79
5608760,170,10.25
5609528,170,10.25
5610288,170,10.25
5611056,170,10.25
5611824,170,10.25
5612584,170,10.25
5613352,170,10.64
5614160,170,10.25
5614880,170,10.28
5615648,170,10.25
5616408,170,10.28
5617176,170,10.25
5617944,170,10.35
5618704,170,10.35
5619472,170,10.25
5620240,170,10.25
5621000,170,10.25
5621768,170,10.28
5622528,170,10.25
5623296,170,10.79
5624064,170,10.25
5624824,170,10.25
5625592,170,10.25
5626360,170,10.25
5627120,170,10.25
5627888,170,10.25
5628656,170,10.67
5629416,170,10.25
5630184,170,10.25
5630944,170,10.25
5631712,170,10.28
5632480,170,10.25
5633240,170,10.3
5634008,170,10.33
5634768,170,10.28
5635536,170,10.25
5636304,170,10.25
5637064,170,10.28
5637832,170,10.28
5638600,170,10.84
5639400,170,10.25
5640128,170,10.25
5640888,170,10.25
5641656,170,10.25
5642424,170,10.25
5643184,170,10.25
5643952,170,10.64
5644712,170,10.28
5645480,170,10.25
5646248,170,10.25
5647008,170,10.25
5647776,170,10.25
5648544,170,10.33
5649304,170,10.3
5650072,170,10.25
5650840,170,10.25
5651608,170,10.25
5652368,170,10.28
5653128,170,10.28
5653896,170,10.82
5654664,170,10.25
5655424,170,10.28
5656192,170,10.25
5656960,170,10.25
5657728,170,10.25
